Var,Name,Type
phone_query_cnt_B_90d,近90天手机号B类查询次数,Integer
phone_query_cnt_B_7d,近7天手机号B类查询次数,Integer
phone_query_cnt_B_6h,近6小时手机号B类查询次数,Integer
phone_query_cnt_B_60d,近60天手机号B类查询次数,Integer
phone_query_cnt_B_3h,近3小时手机号B类查询次数,Integer
phone_query_cnt_B_360d,近360天手机号B类查询次数,Integer
phone_query_cnt_B_30d,近30天手机号B类查询次数,Integer
phone_query_cnt_B_21d,近21天手机号B类查询次数,Integer
phone_query_cnt_B_1h,近1小时手机号B类查询次数,Integer
phone_query_cnt_B_180d,近180天手机号B类查询次数,Integer
phone_query_cnt_B_14d,近14天手机号B类查询次数,Integer
phone_query_cnt_B_12h,近12小时手机号B类查询次数,Integer
id_query_cnt_B_90d,近90天身份证B类查询次数,Integer
id_query_cnt_B_7d,近7天身份证B类查询次数,Integer
id_query_cnt_B_6h,近6小时身份证B类查询次数,Integer
id_query_cnt_B_60d,近60天身份证B类查询次数,Integer
id_query_cnt_B_3h,近3小时身份证B类查询次数,Integer
id_query_cnt_B_360d,近360天身份证B类查询次数,Integer
id_query_cnt_B_30d,近30天身份证B类查询次数,Integer
id_query_cnt_B_24h,近24小时身份证B类查询次数,Integer
id_query_cnt_B_21d,近21天身份证B类查询次数,Integer
id_query_cnt_B_1h,近1小时身份证B类查询次数,Integer
id_query_cnt_B_180d,近180天身份证B类查询次数,Integer
id_query_cnt_B_14d,近14天身份证B类查询次数,Integer
