Var,Name,Type,Extra
emerphone_kp_hit_black_his,紧急联系人是否命中黑名单,Integer,
contact_kp_hit_black_phone_num_3d,通讯录里近3天命中黑名单的手机号数量,Integer,
contact_kp_hit_black_phone_num_7d,通讯录里近7天命中黑名单的手机号数量,Integer,
contact_kp_hit_black_phone_num_15d,通讯录里近15天命中黑名单的手机号数量,Integer,
contact_kp_hit_black_phone_num_30d,通讯录里近30天命中黑名单的手机号数量,Integer,
contact_kp_hit_black_phone_num_90d,通讯录里近90天命中黑名单的手机号数量,Integer,
contact_kp_hit_black_phone_num_his,通讯录里历史命中黑名单的手机号数量,Integer,
emerphone_kp_overdue_order_cnt_his,紧急联系人的历史逾期订单数,Integer,getEmerphoneKpOverdueOrderCntHis()
emerphone_kp_onoverdue_order_cnt_his,紧急联系人的在逾订单数,Integer,getEmerphoneKpOnoverdueOrderCntHis()
emerphone_kp_onloan_order_cnt_his,紧急联系人的在贷订单数,Integer,getEmerphoneKpOnloanOrderCntHis()
emerphone_kp_repay_order_cnt_his,紧急联系人的历史还款订单数,Integer,getEmerphoneKpRepayOrderCntHis()
emerphone_kp_reject_order_cnt_his,紧急联系人的历史被拒订单数,Integer,getEmerphoneKpRejectOrderCntHis()
emerphone_kp_loan_order_cnt_his,紧急联系人的历史放款订单数,Integer,getEmerphoneKpLoanOrderCntHis()
